Material type,ISBN,Name,All names,Title,Variant titles,Country of publication,Publisher,Year of publication,Edition,Topics,Genres,Languages
Volume,9781859020029,Roald Dahl,Quentin Blake ; Gwynne Williams ; Roald Dahl,Ych-a-fi!,Roald Dahl's dirty beasts. Welsh,Wales,Gomer,1993,,Children's poetry ; English poetry,,Welsh
Volume,9781859023006,Roald Dahl,Roald Dahl ; Quentin Blake,Ffi ffai ffiaidd,,Wales,Gomer,1996,,English poetry,,Welsh
Sheet,9781860920349,Roald Dahl,,The great switcheroo,,England,Travelman,1998,,Adulthood--Sexual behavior--Fiction,Fiction,English
Volume,9780140035742,Roald Dahl,,Over to you : ten stories of flyers and flying,,England,Penguin,1973,,"Short stories in English, 1900---Texts",,English
Volume,9780140307559,Roald Dahl,Faith Jaques ; Roald Dahl,Charlie and the great glass elevator,,England,Puffin,1975,,"Children's stories ; Children's stories in English, 1900---Texts",,English
Volume,9780140812336,,Michael Foreman ; Roald Dahl,James and the giant peach,,England,Penguin,1973,,English language--Readers--For schools ; Readers--1950-,,English
Volume,9780749638344,Emma Fischel,Emma Fischel ; Martin Remphry,Roald Dahl,,England,Watts,2000,,"Novelists, English--20th century--Biography--Juvenile literature ; Roald Dahl--Biography--Juvenile literature",,English
Volume,9780749643515,Emma Fischel,Emma Fischel ; Martin Remphry,Roald Dahl,,England,Watts,2002,,"Roald Dahl--Juvenile literature ; Novelists, English--20th century--Biography--Juvenile literature",Biography ; Children's literature,English
Volume,9780809520015 ; 9780809530014,Alan Warren,Dale Salwak ; Alan Warren ; Daryl Furumi Mallett,Roald Dahl : from The gremlins to the chocolate factory,,United States of America,Borgo,1994,"2nd edition, revised and expanded",English fiction--Children's stories ; Roald Dahl,,English
Volume,9780237517625,Chris Powling,,Roald Dahl,,England,Evans,1997,,"Authors, English--20th century--Biography--Juvenile literature ; Roald Dahl",,English
Volume,9780237600105,Chris Powling,Stephen Gulbis ; Chris Powling,Roald Dahl,,England,Evans,1993,New edition,"English fiction--Children's stories ; Authors, English--20th century--Biography--Juvenile literature ; Roald Dahl",,English
